Start Time, Client Name, Tables Archived, End Time, Total Time
2018-10-16 17:55:24,one,table1,2018-10-16 17:55:24,0.247
2018-10-16 17:57:47,one,table1,2018-10-16 17:57:47,0.006
2018-10-16 17:58:43,one,table1,2018-10-16 17:58:43,0.068
2018-10-16 18:01:47,one,table1,2018-10-16 18:01:47,0.004
2018-10-16 18:07:40,one,table1,2018-10-16 18:07:40,0.036
2018-10-16 18:09:40,one,table1,2018-10-16 18:09:40,0.041
2018-10-16 18:19:02,one,table1,2018-10-16 18:19:02,0.005
2018-10-16 18:27:54,one,table1,2018-10-16 18:27:54,0.026
2018-10-16 18:28:53,one,table1,2018-10-16 18:28:53,0.011
